hour,failed_logins,success_logins,privileged_cmds,data_mb,unique_ips,user_id,label
6,1,5,0,16,3,7,0
19,1,4,2,3,2,38,0
14,2,3,0,4,4,48,0
10,1,2,0,4,1,85,0
7,1,4,0,2,4,86,0
20,2,4,0,20,4,99,0
6,0,1,2,1,2,82,0
18,2,3,0,8,1,73,0
22,2,1,0,16,1,2,0
10,4,3,0,8,2,42,0
10,0,1,0,3,2,42,0
23,1,2,6,15,1,81,0
20,2,2,0,6,2,20,0
3,3,1,0,1,3,6,0
7,0,2,0,3,1,11,0
23,2,3,0,8,4,69,0
2,1,1,1,10,3,74,0
21,4,5,0,7,4,87,0
20,4,0,0,3,2,97,0
1,1,1,0,9,4,40,0
23,0,1,0,4,3,36,0
11,0,3,0,2,2,51,0
5,3,1,0,29,3,47,0
1,0,0,0,3,2,98,0
20,0,2,0,4,1,17,0
0,0,1,0,22,4,26,0
11,0,0,1,1,4,53,0
21,0,2,0,8,1,48,0
11,2,3,1,15,1,27,0
16,0,2,0,3,4,46,0
9,1,2,1,18,1,67,0
15,2,3,0,14,2,19,0
14,1,1,2,6,4,72,0
14,2,1,2,1,3,81,0
18,0,5,1,35,1,65,0
11,1,5,0,9,2,71,0
22,1,1,1,7,4,36,0
19,1,5,3,21,4,67,0
2,1,2,0,5,2,83,0
4,1,1,1,8,1,42,0
18,3,1,0,19,4,91,0
6,2,3,1,4,1,67,0
20,1,5,0,14,2,98,0
8,2,1,0,2,3,69,0
6,2,2,0,12,2,49,0
17,2,0,0,7,1,37,0
3,1,4,0,1,4,46,0
13,0,1,0,1,1,80,0
17,1,0,1,6,1,56,0
8,1,1,1,12,3,63,0
20,1,4,2,9,4,78,0
1,0,3,1,19,3,30,0
19,1,3,0,4,3,96,0
14,4,1,2,18,2,63,0
6,2,1,1,0,2,76,0
11,0,3,1,4,4,91,0
7,1,3,1,0,3,26,0
14,2,2,2,25,3,93,0
2,0,2,1,6,1,23,0
13,2,3,0,3,1,86,0
16,2,4,0,6,2,20,0
3,2,3,0,7,3,46,0
17,2,2,0,18,4,80,0
7,0,3,0,7,3,31,0
3,0,1,0,5,2,67,0
1,2,3,0,32,4,21,0
5,2,2,0,34,3,51,0
21,0,2,2,0,1,39,0
9,1,2,0,12,3,63,0
3,2,2,0,4,2,69,0
21,2,6,0,11,2,20,0
17,0,1,1,10,3,23,0
11,1,1,0,4,2,96,0
1,1,5,1,43,1,42,0
9,1,3,2,4,1,73,0
3,1,5,1,9,1,3,0
13,0,2,1,16,3,27,0
15,0,2,1,1,2,91,1
14,0,1,0,3,1,74,0
7,0,2,1,2,4,80,0
13,1,2,2,15,2,24,0
22,0,2,0,16,2,87,0
7,1,3,1,2,4,9,0
20,0,2,1,0,2,2,0
15,0,0,0,5,1,6,0
12,1,1,0,11,2,99,1
17,2,2,0,9,1,71,0
14,1,7,0,5,1,79,0
20,0,1,0,3,1,21,0
23,2,3,1,6,3,87,0
12,0,2,0,0,2,29,0
8,2,1,0,0,4,13,0
14,0,3,0,1,3,69,0
12,0,3,0,9,3,42,0
0,0,3,1,2,3,1,0
6,3,1,0,5,3,20,0
8,1,4,1,9,1,43,0
23,0,4,2,17,1,1,0
0,0,2,0,7,4,99,0
11,0,1,0,1,2,40,0
7,2,3,0,30,4,7,0
23,0,1,0,0,2,35,0
10,0,1,0,4,1,52,0
18,0,2,0,25,2,34,0
16,3,2,1,9,2,50,0
7,1,2,1,10,3,69,0
2,1,1,0,3,4,29,0
2,2,1,0,0,3,91,0
0,1,1,0,4,3,71,0
4,1,5,1,5,3,1,0
9,3,3,1,3,3,73,0
6,2,2,1,2,1,58,0
8,1,2,0,4,4,65,0
6,3,1,0,10,3,91,0
8,0,0,0,29,4,17,0
